Date,Open,High,Low,Close
2023-07-28,"5.400%","5.404%","5.333%","5.382%"
2023-07-27,"5.368%","5.412%","5.345%","5.400%"
2023-07-26,"5.390%","5.423%","5.362%","5.368%"
2023-07-25,"5.370%","5.409%","5.335%","5.390%"
2023-07-24,"5.341%","5.381%","5.304%","5.370%"
2023-07-21,"5.331%","5.357%","5.312%","5.341%"
2023-07-20,"5.321%","5.356%","5.280%","5.331%"
2023-07-19,"5.334%","5.342%","5.256%","5.321%"
2023-07-18,"5.334%","5.340%","5.275%","5.334%"
2023-07-17,"5.324%","5.340%","5.286%","5.334%"
2023-07-14,"5.274%","5.346%","5.248%","5.324%"
